Candidates,Traditional ATS (MB),Modern AI ATS (MB),MERIT CV-Only (MB),MERIT Full (MB),MERIT Explainable (MB)
10,0.02,114.95,53.79,54.87,53.66
50,0.02,115.12,56.59,56.97,56.59
100,0.05,119.25,58.9,58.97,58.62
200,0.06,118.37,63.3,63.89,64.94
500,0.12,120.73,75.17,74.59,76.21
