Candidates,Traditional ATS (s),Modern AI ATS (s),MERIT CV-Only (s),MERIT Full (s),MERIT Explainable (s)
10,0.0085,4.6507,0.1056,0.1117,0.5971
50,0.0179,22.2803,0.4851,0.5141,2.9657
100,0.028,44.526,0.9754,1.0505,5.7971
200,0.053,94.7607,2.2554,2.4054,13.1031
500,0.1041,238.8984,5.6033,5.8995,32.2131
